keyword,last_30_avg,prev_30_avg,growth_rate
bitcoin,34.75,37.75,-7.95
longevity,2.5,4.0,-37.5
venture capital,2.25,3.75,-40.0
creator economy,29.0,55.25,-47.51
weight loss drug,0.0,0.0,
reshoring,0.0,0.0,
